SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,SCAPDVR,Stampede Capital Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HAVISHA,Sri Havisha Hosp infr Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HEMIPROP,Hemisphere Prop Ind Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DPWIRES,D P Wires Limited, ,23/12/2020,31/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MTNL,MAHANAGAR TELEPHONE NIGAM, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JBFIND,JBF INDUSTRIES LTD, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GMDCLTD,Gujarat Min. Dev. Corpn , ,24/12/2020,31/12/2020,22/12/2020, , ,AGM/DIV - RS 2 PER SH    
BE,IVRCLINFRA,IVRCL Limited, ,29/12/2020,31/12/2020,24/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SICAL,Sical Logistics Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DCW,DCW Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HCLTECH,HCL Technologies Ltd.,23/01/2021, , ,21/01/2021, , ,INTERIM DIVIDEND         
BE,ENGINERSIN,Engineers India-Depo,01/01/2021, , ,31/12/2020, , ,BUYBACK                  
BE,VISESHINFO,Visesh Infotecnics Limite, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MADRASFERT,Madras Fertilizers Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ASHAPURMIN,Ashapura Minechem Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DSKULKARNI,DS Kulkarni Dev. Ltd., ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,AUTORIDFIN,Autoriders Finance Ltd, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GAMMONIND,Gammon India Ltd., ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MANGTIMBER,Mangalam Timber Pro Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TOKYOPLAST,Tokyo Plast Intl Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RAJESHEXPO,Rajesh Exports Ltd-Depo, ,25/12/2020,31/12/2020,23/12/2020, , ,DIV - RE 1 PER SH        
BE,MELSTAR,Melstar Info Tec Ltd, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,REGENCERAM,Regency Ceramics Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SANDESH,Sandesh Ltd, ,18/12/2020,30/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PEARLPOLY,Pearl Polymers Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JISLJALEQS,Equity shares of Rs.10/-, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ATCOM,ATCOMTECH- Depo, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GUJRAFFIA,Gujarat Raffia-Roll Sett, ,29/12/2020,04/01/2021,24/12/2020, , ,EXTRA GENERAL MEETING    
BE,PSL,PSL Limited, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,OPTOCIRCUI,Opto Circuits (I) Ltd., ,29/12/2020,31/12/2020,24/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VIVIMEDLAB,Vivimed Labs Limited, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SIMPLEXINF,Simplex Infrastructures L, ,22/12/2020,30/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KOHINOOR,Kohinoor Foods Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BARTRONICS,Bartronics India Limited, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GDL,Gateway Distriparks Ltd.,06/01/2021, , ,05/01/2021, , ,INTERIM DIVIDEND         
BE,CYBERMEDIA,Cyber Media (India) Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PREMIER,Premier Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PAEL,PAE Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KAVVERITEL,Kavveri Telecom Products, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VISUINTL,Visu International Limite, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PRAENG,Prajay Engineers Syndicat, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
BE,WEBELSOLAR,Websol Energy System Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ANANTRAJ,Anant Raj Industries Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,AGM/DIV - RE 0.08 PER SH 
BE,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MIC,MIC Electronics Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BVCL,Barak Valley Cements Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GLOBALVECT,Global Vectra Helicorp Li, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,REFEX,Refex Industries Limited, ,25/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BANG,Bang Overseas Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GOLDENTOBC,Golden Tobacco Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TWL,Titagarh Wagons Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BGLOBAL,Bharatiya Global Info Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SYNCOM,Syncom Healthcare Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ZEELEARN,Zee Learn Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,IL&FSTRANS,IL&FS Trans Net Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TI,Tilaknagar Industries Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KSERASERA,KSS Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SEZAL,Sezal Glass Limited, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JISLDVREQS,Jain DVR Equity Shares, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ONELIFECAP,Onelife Cap Advisors Ltd, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,THOMASCOTT,Thomas Scott (India) Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SHIRPUR-G,AgeeGoldRefn-Roll Sett, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VIVIDHA,Visagar Polytex Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,VISUINTL,Visu International Limite, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,GAMMONIND,Gammon India Ltd., ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,DSKULKARNI,DS Kulkarni Dev. Ltd., ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,KSERASERA,KSS Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,SYNCOM,Syncom Healthcare Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,IL&FSTRANS,IL&FS Trans Net Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,KOHINOOR,Kohinoor Foods Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,MANPASAND,Manpasand Beverages Ltd., ,28/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,BARTRONICS,Bartronics India Limited, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,MELSTAR,Melstar Info Tec Ltd, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,SEZAL,Sezal Glass Limited, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
E1,ABFRLPP,Aditya Birla Rs.5 ppd up,08/01/2021, , ,07/01/2021, , ,FRSTCALL-RS 27.50 PER SH 
EQ,AUTORIDFIN,Autoriders Finance Ltd, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JBFIND,JBFIndustries Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,TOKYOPLAST,Tokyo Plast Intl Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MANGTIMBER,Mangalam Timber Pro Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SANDESH,Sandesh Ltd, ,18/12/2020,30/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,REGENCERAM,Regency Ceramics Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DCW,DCW Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ENGINERSIN,Engineers India Ltd.,01/01/2021, , ,31/12/2020, , ,BUYBACK                  
EQ,MADRASFERT,Madras Fertilizers Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MTNL,Maha Tel Nigam Ltd., ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PEARLPOLY,Pearl Polymers Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ASHAPURMIN,Ashapura Minechem Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,GMDCLTD,Gujarat Min. Dev. Corpn , ,24/12/2020,31/12/2020,22/12/2020, , ,AGM/DIV - RS 2 PER SH    
EQ,GUJRAFFIA,Gujarat Raffia Inds Ltd, ,29/12/2020,04/01/2021,24/12/2020, , ,EXTRA GENERAL MEETING    
EQ,GAMMONIND,Gammon India Ltd., ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MELSTAR,Melstar Info Tec Ltd, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,HCLTECH,HCL Technologies Ltd.,23/01/2021, , ,21/01/2021, , ,INTERIM DIVIDEND         
EQ,VISESHINFO,Visesh Infotecnics Limite, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SICAL,Sical Logistics Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,RAJESHEXPO,Rajesh Exports Ltd., ,25/12/2020,31/12/2020,23/12/2020, , ,DIV - RE 1 PER SH        
EQ,IVRCLINFRA,IVRCL Limited, ,29/12/2020,31/12/2020,24/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DSKULKARNI,DS Kulkarni Dev. Ltd., ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JISLJALEQS,Jain Irrigation Systems L, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ATCOM,Atcom Techno. Ltd., ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PSL,PSL Limited, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,OPTOCIRCUI,Opto Circuits (India) Lim, ,29/12/2020,31/12/2020,24/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,VIVIMEDLAB,Vivimed Labs Limited, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SIMPLEXINF,Simplex Infrastructures L, ,22/12/2020,30/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,KOHINOOR,Kohinoor Foods Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BARTRONICS,Bartronics India Limited, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,GDL,Gateway Distriparks Limit,06/01/2021, , ,05/01/2021, , ,INTERIM DIVIDEND         
EQ,CYBERMEDIA,Cyber Media (India) Limit, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PREMIER,Premier Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PAEL,PAE Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,KAVVERITEL,Kavveri Telecom Products, ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,VISUINTL,Visu International Limite, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PRAENG,Prajay Engineers Syndicat, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,WEBELSOLAR,Websol Energy System Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ANANTRAJ,Anant Raj Industries Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,AGM/DIV - RE 0.08 PER SH 
EQ,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MIC,MIC Electronics Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BVCL,Barak Valley Cements Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,GLOBALVECT,Global Vectra Helicorp Li, ,28/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,REFEX,Refex Industries Limited, ,25/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BANG,Bang Overseas Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,GOLDENTOBC,Golden Tobacco Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,TWL,Titagarh Wagons Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SYNCOM,Syncom Healthcare Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BGLOBAL,Bharatiya Global Info Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ZEELEARN,Zee Learn Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,IL&FSTRANS,IL&FS Trans Net Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,TI,Tilaknagar Industries Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,KSERASERA,KSS Limited, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SEZAL,Sezal Glass Limited, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JISLDVREQS,Jain DVR Equity Shares, ,21/12/2020,30/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ONELIFECAP,Onelife Cap Advisors Ltd, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,THOMASCOTT,Thomas Scott (India) Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SHIRPUR-G,Agee Gold Refiners Ltd., ,24/12/2020,31/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,VIVIDHA,Visagar Polytex Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,UJAAS,Ujaas Energy Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,NDL,Nandan Denim Limited, ,26/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,LYPSAGEMS,Lypsa Gems & Jewel Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SKIL,SKIL Infrastr. Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ARCOTECH,Arcotech Limited, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,CCHHL,Country Club Hosp Hol Ltd, ,25/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MANPASAND,Manpasand Beverages Ltd., ,28/12/2020,31/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MFSL,Max Fin Serv Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,KRIDHANINF,Kridhan Infra Limited, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PILANIINVS,Pilani Inv & Ind Cor Ltd,02/01/2021, , ,31/12/2020, , ,BONUS 2:5                
EQ,ORTINLABSS,Ortin Laboratories Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,STAMPEDE,Stampede Capital Ltd, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MAXVIL,Max Ventures and Inds Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ITDC,India Tour. Dev. Co. Ltd., ,28/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SCAPDVR,Stampede Capital Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,HAVISHA,Sri Havisha Hosp infr Ltd, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,HEMIPROP,Hemisphere Prop Ind Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ORCHPHARMA,Orchid Pharma Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DPWIRES,D P Wires Limited, ,23/12/2020,31/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
GS,833GS2026,GOI LOAN 8.33% 2026,08/01/2021, , ,07/01/2021, , ,INTEREST PAYMENT         
GS,83GS2040,GOI LOAN 8.30% 2040,01/01/2021, , ,31/12/2020, , ,INTEREST PAYMENT         
GS,83GS2042,GOI LOAN 8.30% 2042,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
GS,84GS2024,GOI LOAN 8.40% 2024,27/01/2021, , ,25/01/2021, , ,INTEREST PAYMENT         
GS,726GS2029,GOI LOAN 7.26% 2029,13/01/2021, , ,12/01/2021, , ,INTEREST PAYMENT         
GS,732GS2024,GOVERNMENT OF INDIA,27/01/2021, , ,25/01/2021, , ,INTEREST PAYMENT         
GS,717GS2028,GOI LOAN 7.17% 2028,07/01/2021, , ,06/01/2021, , ,INTEREST PAYMENT         
GS,759GS2026,GOI LOAN 7.59% 2026,08/01/2021, , ,07/01/2021, , ,INTEREST PAYMENT         
GS,700GS2021,GOI LOAN 7.00% 2021,20/01/2021, , ,19/01/2021, , ,INTEREST PAYMENT/REDEMPTI
GS,617GS2021,GOI LOAN 6.17% 2021,14/01/2021, , ,13/01/2021, , ,INTEREST PAYMENT         
GS,683GS2039,GOI 6.83% 2039,18/01/2021, , ,15/01/2021, , ,INTEREST PAYMENT         
M2,L&TFINANCE,L,11/01/2021, , ,04/01/2021,04/01/2021,08/01/2021,INTEREST PAYMENT         
M3,L&TFINANCE,L,11/01/2021, , ,04/01/2021,04/01/2021,08/01/2021,INTEREST PAYMENT         
M6,L&TFINANCE,L,11/01/2021, , ,04/01/2021,04/01/2021,08/01/2021,INTEREST PAYMENT         
M7,L&TFINANCE,L,11/01/2021, , ,04/01/2021,04/01/2021,08/01/2021,INTEREST PAYMENT         
MF,IDFCEOS4RD,IDFCAMC - IDFCEOS4RD,31/12/2020, , , , , ,REDEMPTION               
MF,IDFCEOS4DD,IDFCAMC - IDFCEOS4DD,31/12/2020, , , , , ,REDEMPTION               
MF,IDFCEOS4RG,IDFCAMC - IDFCEOS4RG,31/12/2020, , , , , ,REDEMPTION               
MF,BSLRIFS4RG,BIRLASLAMC - BSLRIFS4RG,05/01/2021, , , , , ,DIV/REDEMPTION           
MF,BSLRIFS4RD,BIRLASLAMC - BSLRIFS4RD,05/01/2021, , , , , ,DIV/REDEMPTION           
MF,BSLRIFS4DG,BIRLASLAMC - BSLRIFS4DG,05/01/2021, , , , , ,DIV/REDEMPTION           
MF,BSLRIFS4DD,BIRLASLAMC - BSLRIFS4DD,05/01/2021, , , , , ,DIV/REDEMPTION           
MF,IDFCEOS4DG,IDFCAMC - IDFCEOS4DG,31/12/2020, , , , , ,REDEMPTION               
N1,TATACAPHSG,Sec Red NCD 8% Sr.I,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N1,NHBTF2014,BOND 8.26%PA TF Tr-I S1A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N2,NHBTF2014,BOND 8.63%PA TF Tr-I S 2A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
